"word/document","C:\proj\teian\koito\tagmaker_0.1\data\sample\src\dbms01.txt","C:\proj\teian\koito\tagmaker_0.1\data\sample\src\dbms02.txt","C:\proj\teian\koito\tagmaker_0.1\data\sample\src\dbms03.txt","C:\proj\teian\koito\tagmaker_0.1\data\sample\src\dbms04.txt","C:\proj\teian\koito\tagmaker_0.1\data\sample\src\dbms05.txt","C:\proj\teian\koito\tagmaker_0.1\data\sample\src\dbms06.txt","C:\proj\teian\koito\tagmaker_0.1\data\sample\src\dbms07.txt","C:\proj\teian\koito\tagmaker_0.1\data\sample\src\dbms08.txt","C:\proj\teian\koito\tagmaker_0.1\data\sample\src\dbms09.txt","C:\proj\teian\koito\tagmaker_0.1\data\sample\src\dbms10.txt","C:\proj\teian\koito\tagmaker_0.1\data\sample\src\dbms11.txt"
"、",0.06155759365770247,0.04502446982055465,0.03957900978357545,0.04577798861480076,0.05406150875741277,0.06246036778693722,0.05679676985195155,0.055523423944476576,0.05063098677208454,0.058884084826024294,0.055036344755970926
"の",0.047722679931602674,0.048939641109298535,0.043729617551141416,0.05479127134724858,0.046338436077782375,0.03868103994927077,0.05625841184387618,0.05976479660690187,0.048198266686939335,0.04982499485278979,0.05067497403946002
"。",0.04352557127312296,0.04632952691680261,0.0429884375926475,0.04767552182163188,0.041787339677285894,0.04914394419784401,0.05491251682368775,0.046655099286678235,0.04318078151132735,0.04056001647107268,0.04340602284527518
"を",0.044147365148453285,0.036215334420880915,0.033353098132226505,0.03795066413662239,0.03806371534960695,0.03677869372225745,0.052759084791386274,0.046076730287256604,0.04485327656986468,0.03664813670990323,0.04402907580477674
"は",0.023939064200217627,0.02871125611745514,0.02416246664690187,0.024905123339658445,0.026203282305888843,0.0326569435637286,0.025841184387617767,0.029111239637555426,0.030104911053671888,0.034589252625077206,0.02284527518172378
"に",0.02254002798072439,0.019249592169657423,0.02090127482952861,0.022058823529411766,0.0253758102330713,0.024413443246670895,0.02664872139973082,0.026604973973395025,0.031777406112209215,0.040354128062590075,0.02782969885773624
"ます",0.02564899735737603,0.025122349102773247,0.019270678920841982,0.021821631878557873,0.0244104261481175,0.029169308814204185,0.03095558546433378,0.032388663967611336,0.023719020830165728,0.027383158328186122,0.022637590861889927
"し",0.026737136639204104,0.020880913539967374,0.01897420693744441,0.019686907020872866,0.022893394014618672,0.019657577679137603,0.023687752355316286,0.02197802197802198,0.019461760681161625,0.027589046736668725,0.01806853582554517
"が",0.01647753769625369,0.013050570962479609,0.02416246664690187,0.019924098671726755,0.02303130602675493,0.017121116043119847,0.019919246298788693,0.022941970310391364,0.024783335867416757,0.02120650607370805,0.020560747663551402
"で",0.01709933157158402,0.018597063621533443,0.019270678920841982,0.017789373814041744,0.019169769686939734,0.020291693088142042,0.0180349932705249,0.01407364565259302,0.015204500532157519,0.01194152769199094,0.01806853582554517
"する",0.014301259132597544,0.007177814029363785,0.014823599169878446,0.011622390891840606,0.01834229761412219,0.01109701965757768,0.018304172274562585,0.0167727009832273,0.012163600425726015,0.010706197241095327,0.014330218068535825
"て",0.015078501476760453,0.012724306688417618,0.011117699377408835,0.009250474383301708,0.011860433043718107,0.010145846544071021,0.014535666218034994,0.013880855986119144,0.016572905580051697,0.018118179946469012,0.01973001038421599
"と",0.01010415047411783,0.0166394779771615,0.011562407352505188,0.022296015180265655,0.01875603365053096,0.012048192771084338,0.011036339165545087,0.016387121650279547,0.01231564543104759,0.010294420424130122,0.012461059190031152
"データ",0.013834913726099797,0.0026101141924959217,0.0026682478505781204,9.487666034155598E-4,0.008688456764584195,0.0019023462270133164,0.006729475100942127,0.015808752650857915,0.009578835335259236,0.021412394482190653,0.02284527518172378
"表",4.66345406497746E-4,0.014029363784665579,0.02030833086273347,0.027039848197343452,0.0031719762791339126,0.0031705770450221942,0.014804845222072678,0.023327549643339118,6.081800212863008E-4,0.007823759522338892,0.0035306334371754933
"た",0.008860562723457173,0.008156606851549755,0.004743551734361103,0.009724857685009488,0.008136808716039168,0.011731135066582118,0.011036339165545087,0.006940427993059572,0.011099285388474989,0.011529750875025736,0.008722741433021807
"「",7.7724234416291E-4,0.024143556280587276,0.021345982804624963,0.020872865275142316,0.008688456764584195,0.013950538998097653,0.004306864064602961,0.002891844997108155,0.0027368100957883535,0.0010294420424130121,0.0024922118380062306
"」",7.7724234416291E-4,0.024143556280587276,0.021197746812926178,0.015180265654648957,0.008688456764584195,0.011731135066582118,0.0029609690444145358,0.002699055330634278,0.002432720085145203,0.0010294420424130121,0.0024922118380062306
"こと",0.007150629566298772,0.003915171288743882,0.011562407352505188,0.005929791271347249,0.008826368776720453,0.003804692454026633,0.004306864064602961,0.006554848660111818,0.006994070244792459,0.0067943174799258805,0.008515057113187955
"（",0.0077724234416291,0.008156606851549755,0.0019270678920841982,0.007827324478178369,0.006068128533995311,0.0034876347495244133,0.003230148048452221,0.004819741661846925,0.003344990117074654,0.004941321803582459,0.008722741433021807
"）",0.0077724234416291,0.008156606851549755,0.0019270678920841982,0.006878557874762809,0.006068128533995311,0.004121750158528852,0.0029609690444145358,0.004819741661846925,0.003344990117074654,0.004941321803582459,0.008722741433021807
"も",0.004974351002642624,0.004241435562805873,0.004891787726059887,0.003320683111954459,0.003999448351951455,0.0057070386810399495,0.004576043068640646,0.006169269327164064,0.007146115250114033,0.007000205888408483,0.004569055036344756
"さ",0.004508005596144878,0.0065252854812398045,0.0019270678920841982,0.0011859582542694497,0.0030340642669976557,0.009511731135066582,0.005652759084791386,0.006169269327164064,0.006842025239470883,0.0074119827053736875,0.007061266874350987
